Diameter (m),x (m),y (m),z (m)
0.0621214,32.7484,13.3654,9.72931
0.0713193,0.591582,33.6044,7.97492
0.0587243,28.9255,10.8894,2.03873
0.108706,23.0252,42.652,4.71983
0.0736832,16.6048,27.2043,6.22363
0.0727809,44.5338,48.1082,9.26641
0.0535349,17.3886,34.2617,0.143127
0.122704,46.6264,46.9788,6.57353
0.0518451,28.207,32.2361,1.09076
0.101772,13.8072,21.8496,7.18277
0.0925773,35.7175,44.192,4.31963
0.0575865,0.764616,9.25909,9.7871
0.0518553,34.5514,27.0325,7.06603
0.0520762,19.1983,14.094,2.44151
0.0641679,20.4,37.3842,7.40617
0.0535298,15.8226,20.2848,0.140086
0.0536148,20.5553,28.2392,1.20257
0.0644226,10.5843,24.8235,7.93474
0.0806625,35.1581,6.80678,2.99061
0.112358,13.4207,40.8125,5.00708
0.05624,15.6309,49.1896,3.73806
0.0571837,0.0926579,46.8027,2.29672
0.0634701,36.984,43.919,0.147609
0.0546092,31.4516,7.31027,4.72556
0.0661865,24.1418,37.2996,6.22071
0.0529103,35.6084,23.8476,0.533769
0.0548794,26.9835,29.408,3.59754
0.174574,32.1737,44.495,4.80414
0.0514991,8.74983,9.49687,2.38998
0.0723222,23.0366,23.9071,4.24991
0.136903,15.4059,40.7526,7.87446
0.230103,42.5905,19.2598,4.59103
0.0540145,10.0862,19.3052,7.31494
0.127506,25.8872,16.1003,1.26011
0.0560665,0.32394,48.107,4.24292
0.134002,15.5885,46.6431,6.06111
0.0812642,42.4443,19.3271,6.56348
0.0512374,43.9955,33.6652,7.30475
0.241762,8.47039,37.3811,7.92275
0.0602932,20.8424,35.5012,8.19124
0.0804167,5.66682,49.7907,4.7229
0.0561171,29.6888,27.6712,3.52274
0.2669,0.5835,49.3767,7.70388
0.0647809,40.398,6.15328,7.2736
0.0501073,12.5879,41.1985,7.26248
0.0830256,21.4633,11.9311,9.8818
0.0580893,35.0635,17.1027,9.59608
0.0505866,10.3169,32.6027,9.24752
0.051767,30.8595,15.1324,0.988571
0.0605106,8.23968,1.25543,8.02468
0.117924,22.2841,2.23433,6.46167
0.0700849,36.9706,40.3583,9.03626
0.0536278,29.7144,3.63759,3.73574
0.0531924,7.79194,10.8294,4.04989
0.0892312,28.714,21.8166,2.9004
0.112508,36.706,29.9737,1.95421
0.162426,3.10355,0.0480677,0.881226
0.0747183,15.6822,30.6005,3.82943
0.0555027,43.42,0.614873,3.57708
0.0613497,17.4353,10.3076,1.00571
0.0658555,29.4207,24.7982,5.79284
0.168744,20.9082,3.73207,4.81612
0.122384,16.5898,41.3183,4.82122
0.489342,21.1378,27.2876,5.04048
0.0512647,16.8251,46.8393,5.23854
0.0799052,38.0117,8.96305,6.37854
0.0502199,48.8882,29.7903,6.28318
0.056684,9.66435,9.38165,0.530117
0.0561784,14.9258,3.33005,9.85719
0.0649062,15.8325,31.4503,3.12236
0.0565349,23.2712,7.88903,5.4104
0.184318,18.7605,38.6898,6.94805
0.0538976,25.9707,8.87215,0.660735
0.0699958,24.388,30.7314,8.96339
0.0525115,9.36702,8.0712,0.348676
0.0813568,5.62264,43.6213,2.48347
0.0540756,40.472,8.1369,7.04608
0.0579797,42.4325,10.9083,5.96315
0.061963,14.3399,12.315,2.45639
0.108745,39.6845,25.8659,6.48013
0.149337,41.6496,26.1682,2.13205
0.203366,26.5179,2.01842,5.57364
0.081771,37.5711,5.49694,3.15185
0.0624728,6.35427,37.3111,8.46184
0.0687806,24.3832,35.8767,2.1306
0.241977,15.2514,4.22416,2.33854
0.0648359,47.1114,5.93832,0.297995
0.194057,20.6216,45.3677,4.59699
0.0585546,4.56268,5.52261,0.842062
0.0515088,29.7917,28.0352,3.08546
0.0681627,29.0158,5.39226,5.84755
0.124151,15.2717,0.827378,3.06425
0.0726143,29.2883,43.5605,9.75843
0.0974008,32.623,44.3397,3.05604
0.0516185,4.8061,43.3176,6.99218
0.0669256,9.74342,19.5627,6.99007
0.0575439,28.7929,30.1976,2.15382
0.0556399,0.0857933,1.76194,3.36381
0.0583876,23.4089,10.2087,6.70365
0.106505,26.1397,42.9818,8.81757
0.0566906,16.4748,20.5317,1.86919
0.0694047,46.4074,47.4363,9.20598
0.0585553,10.8641,0.668639,2.64703
0.0584516,38.7994,22.9686,1.0457
0.229758,25.4399,30.6007,6.84139
0.10758,43.6887,15.2005,4.81541
0.103392,38.5336,11.7605,9.7966
0.147422,45.5197,39.9598,2.6449
0.0505745,33.8304,28.7125,5.75189
0.101223,34.055,21.437,4.36296
0.092002,3.46608,27.4028,7.85169
0.0688381,11.428,38.8856,6.33796
0.080321,10.2005,37.0113,9.36597
0.0536518,33.9122,23.2819,3.2579
0.0700643,16.6449,5.6827,1.85743
0.192867,15.352,49.7258,0.250654
0.0732135,22.2604,46.144,3.16379
0.0588971,2.32215,13.4079,0.879147
0.0758193,37.7431,20.1366,5.42415
0.0539002,44.1999,0.436401,3.60756
0.0720636,4.58401,47.4156,0.950716
0.0981226,15.1076,30.7222,0.520834
0.111111,23.2591,33.631,2.16624
0.0556329,35.1591,30.6293,5.8309
