Diameter (m),x (m),y (m),z (m)
0.102539,29.5171,33.5899,3.48214
0.0967792,29.5869,21.4947,1.40017
0.0591152,5.44219,12.2296,5.83487
0.0531311,4.9611,44.1517,3.36282
0.134779,18.765,45.1149,9.01873
0.0745049,17.1974,33.7608,0.395742
0.39894,49.8013,48.7456,4.21647
0.114017,14.9994,2.06391,8.65521
0.0539398,23.6355,15.1633,8.63436
0.0569566,47.8619,19.1569,0.818739
0.0513537,7.56128,32.5834,9.10495
0.0643512,17.3219,17.2003,7.34898
0.0528557,3.70947,1.03869,6.07925
0.0601037,20.1296,35.4132,9.92763
0.0649007,43.5495,29.3729,1.05359
0.0531828,9.83827,49.8453,9.75813
0.074561,49.3953,20.8805,2.60033
0.0621422,34.5815,10.4741,6.37491
0.0800541,16.2197,5.01409,6.72039
0.0708328,11.4372,29.8336,0.745149
0.081742,31.4742,24.3382,5.02442
0.0585684,21.6852,9.51152,8.19991
0.0608381,4.47883,35.1817,7.78447
0.0998287,26.0742,0.20098,9.58396
0.0825492,15.1923,38.8633,6.76634
0.139643,12.4738,19.002,5.40021
0.0655527,12.7992,34.9796,9.07898
0.0701668,24.0469,0.670461,1.88544
0.0856124,43.8532,37.1954,9.59687
0.0736434,7.68187,11.1089,6.61345
0.104375,40.9678,15.3585,4.98773
0.052045,5.45433,6.70544,3.39873
0.0810868,9.09648,15.6672,5.20118
0.077509,18.1873,0.00204429,1.76597
0.0572149,21.8516,33.987,8.17138
0.0932219,14.6659,3.94477,8.13206
0.0625125,40.0018,15.1744,2.04471
0.0791931,34.1025,28.424,5.70542
0.0604933,11.2228,38.5903,2.20932
0.0789521,1.20556,38.0076,6.48254
0.100345,18.4523,18.1716,0.515952
0.0725116,17.5029,3.22613,6.87402
0.104401,46.2257,45.455,2.15824
0.11393,1.33797,22.6221,7.03981
0.0576704,46.6062,20.7983,6.3382
0.101,33.8126,5.65573,4.42303
0.0559639,36.3988,3.01844,6.49433
0.086581,22.1792,15.4787,8.31296
0.0894147,32.098,36.6352,6.81517
0.0647336,8.83995,38.9391,6.28663
